split,sat,mask
train,100034_sat.jpg,100034_mask.png
train,100081_sat.jpg,100081_mask.png
train,100129_sat.jpg,100129_mask.png
train,100703_sat.jpg,100703_mask.png
train,100712_sat.jpg,100712_mask.png
train,100773_sat.jpg,100773_mask.png
train,100841_sat.jpg,100841_mask.png
train,100867_sat.jpg,100867_mask.png
train,100892_sat.jpg,100892_mask.png
train,101225_sat.jpg,101225_mask.png
train,101296_sat.jpg,101296_mask.png
train,101395_sat.jpg,101395_mask.png
train,102408_sat.jpg,102408_mask.png
train,10246_sat.jpg,10246_mask.png
train,10255_sat.jpg,10255_mask.png
train,102699_sat.jpg,102699_mask.png
train,102925_sat.jpg,102925_mask.png
train,102945_sat.jpg,102945_mask.png
train,103056_sat.jpg,103056_mask.png
train,103201_sat.jpg,103201_mask.png
train,103341_sat.jpg,103341_mask.png
train,103447_sat.jpg,103447_mask.png
train,103627_sat.jpg,103627_mask.png
train,103722_sat.jpg,103722_mask.png
train,104350_sat.jpg,104350_mask.png
train,104607_sat.jpg,104607_mask.png
train,10466_sat.jpg,10466_mask.png
train,104683_sat.jpg,104683_mask.png
train,10486_sat.jpg,10486_mask.png
train,104883_sat.jpg,104883_mask.png
train,104943_sat.jpg,104943_mask.png
train,104_sat.jpg,104_mask.png
train,105157_sat.jpg,105157_mask.png
train,105252_sat.jpg,105252_mask.png
train,105282_sat.jpg,105282_mask.png
train,105428_sat.jpg,105428_mask.png
train,1054_sat.jpg,1054_mask.png
train,105553_sat.jpg,105553_mask.png
train,105596_sat.jpg,105596_mask.png
train,105742_sat.jpg,105742_mask.png
train,105856_sat.jpg,105856_mask.png
train,106119_sat.jpg,106119_mask.png
train,106147_sat.jpg,106147_mask.png
train,106448_sat.jpg,106448_mask.png
train,106523_sat.jpg,106523_mask.png
train,106676_sat.jpg,106676_mask.png
train,106718_sat.jpg,106718_mask.png
train,106737_sat.jpg,106737_mask.png
train,106741_sat.jpg,106741_mask.png
train,106797_sat.jpg,106797_mask.png
train,107030_sat.jpg,107030_mask.png
train,10716_sat.jpg,10716_mask.png
train,107412_sat.jpg,107412_mask.png
train,107469_sat.jpg,107469_mask.png
train,107582_sat.jpg,107582_mask.png
train,107770_sat.jpg,107770_mask.png
train,107853_sat.jpg,107853_mask.png
train,10802_sat.jpg,10802_mask.png
train,108254_sat.jpg,108254_mask.png
train,108504_sat.jpg,108504_mask.png
train,109094_sat.jpg,109094_mask.png
train,109263_sat.jpg,109263_mask.png
train,109493_sat.jpg,109493_mask.png
train,109757_sat.jpg,109757_mask.png
train,109778_sat.jpg,109778_mask.png
train,109856_sat.jpg,109856_mask.png
train,109889_sat.jpg,109889_mask.png
train,109942_sat.jpg,109942_mask.png
train,110190_sat.jpg,110190_mask.png
train,110236_sat.jpg,110236_mask.png
train,110277_sat.jpg,110277_mask.png
train,110521_sat.jpg,110521_mask.png
train,110680_sat.jpg,110680_mask.png
train,110742_sat.jpg,110742_mask.png
train,110849_sat.jpg,110849_mask.png
train,111121_sat.jpg,111121_mask.png
train,111140_sat.jpg,111140_mask.png
train,111202_sat.jpg,111202_mask.png
train,111475_sat.jpg,111475_mask.png
train,11168_sat.jpg,11168_mask.png
train,112256_sat.jpg,112256_mask.png
train,112762_sat.jpg,112762_mask.png
train,112946_sat.jpg,112946_mask.png
train,113044_sat.jpg,113044_mask.png
train,113050_sat.jpg,113050_mask.png
train,113164_sat.jpg,113164_mask.png
train,113184_sat.jpg,113184_mask.png
train,113252_sat.jpg,113252_mask.png
train,113257_sat.jpg,113257_mask.png
train,113288_sat.jpg,113288_mask.png
train,113817_sat.jpg,113817_mask.png
train,113_sat.jpg,113_mask.png
train,114197_sat.jpg,114197_mask.png
train,114285_sat.jpg,114285_mask.png
train,114405_sat.jpg,114405_mask.png
train,114487_sat.jpg,114487_mask.png
train,11480_sat.jpg,11480_mask.png
train,115334_sat.jpg,115334_mask.png
train,11545_sat.jpg,11545_mask.png
train,115576_sat.jpg,115576_mask.png
train,11570_sat.jpg,11570_mask.png
train,116231_sat.jpg,116231_mask.png
train,116293_sat.jpg,116293_mask.png
train,116352_sat.jpg,116352_mask.png
train,116637_sat.jpg,116637_mask.png
train,116658_sat.jpg,116658_mask.png
train,116753_sat.jpg,116753_mask.png
train,117090_sat.jpg,117090_mask.png
train,117283_sat.jpg,117283_mask.png
train,117332_sat.jpg,117332_mask.png
